TO Number,SPX Tracking Number,TO Status,High Value,Sender ID,Sender Name,Sender Type,Sender Station Type,Receiver ID,Receiver Name,Receiver type,Receiver Station Type,Current Station,TO Order Quantity,TO Direction,Volumetric Weight,Weight,Length,Width,Height,Line Hual Trip Number,Operator,Create Time,Complete Time,Driver,Driver Scan Time,Journey Type,Remark,Receive Status,TO Remark,Staging Area ID,Exception Tag,Packing Method,Dangerous Goods
TO20250918CAE1H,PH250889953688Y,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH252651763694H,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH2526610336203,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH252671844123M,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH253479350050F,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH2535150062043,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH253516758576W,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH254444279493B,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH254911146463Y,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH2549332167445,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH254986095346P,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH255462823054D,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH255538753741D,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH255743492263D,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH2568522725690,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH2581404252364,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH258376002329N,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH259550259273Y,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH2595671900585,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1H,PH259740027727D,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.631,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:49:57,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1G,PH250296985305L,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.695,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:53:12,,,Forward,,Pending Receive,,-,,Individual Packing,
TO20250918CAE1G,PH2524484210608,Packed,-,2133,SOC 5,Station,SOC,60,Davao DC,Station,SOC,SOC 5,20,Forward,0,19.695,0,0,0,,[Ops123664]CRISTINA PEROCHO MAGAT,2025-09-18 10:44:36,2025-09-18 10:53:12,,,Forward,,Pending Receive,,-,,Individual Packing,
